Column Name,Data Type,Description
cards,Binary,STATIONARY/cards BUYER (Y/N)
plates,Binary,PLATE COLLECTOR (Y/N)
lifesrc,Nominal,"LIFE STYLE DATA SOURCE. Indicates source of the lifestyle variables listed above (1 = MATCHED ON mailSource ONLY, 2 = MATCHED ON POLK ONLY, 3 = MATCHED BOTH mailSource AND monsterMail)"
pepstrfl,Binary,"Indicates PEP Star RFA Status (blank = Not considered to be a PEP Star, 'X' = Has PEP Star RFA Status)"
cardprom,Discrete,"Lifetime number of card promotions received to date. Card promotions are promotion type FS, GK, TK, SK, NK, XK, UF, UU."
maxadate,Date,"Date of the most recent promotion received (in YYMM, Year/Month format)"
numprom,Discrete,Lifetime number of promotions received to date
cardpm12,Discrete,Number of card promotions received in the last 12 months (in terms of calendar months translates into 9603-9702)
numprm12,Discrete,Number of promotions received in the last 12 months (in terms of calendar months translates into 9603-9702)
ramntall,Continuous,Dollar amount of lifetime gifts to date
ngiftall,Discrete,Number of lifetime gifts to date
cardgift,Discrete,Number of lifetime gifts to card promotions to date
minramnt,Continuous,Dollar amount of smallest gift to date
minrdate,Date,Date associated with the smallest gift to date
maxramnt,Continuous,Dollar amount of largest gift to date
maxrdate,Date,Date associated with the largest gift to date
lastgift,Continuous,Dollar amount of most recent gift
lastdate,Date,Date associated with the most recent gift
fistdate,Date,Date of first gift
nextdate,Date,Date of second gift
timelag,Continuous,Number of months between first and second gift
avggift,Continuous,Average dollar amount of gifts to date
id,Identifier,Control number (unique record identifier)
responded,Dependant,Target Variable: Binary Indicator for Response to 97NK Mailing
amount,Dependant,Target Variable: Donation Amount (in $) associated with the Response to 97NK Mailing
hphone_d,Binary,Indicator for presence of a published home phone number
rfa_2r,Nominal,Recency code for rfa_2
rfa_2f,Nominal,Frequency code for rfa_2
rfa_2a,Nominal,Donation Amount code for rfa_2
mdmaud_r,Nominal,Recency code for mdmaud
mdmaud_f,Nominal,Frequency code for mdmaud
mdmaud_a,Nominal,Donation Amount code for mdmaud
cluster2,Nominal,Classic Cluster Code (a nominal symbolic field)
geocode2,Nominal,County Size Code
msa,Code,msa code of neighborhood
adi,Code,adi code of neighborhood
dma,Code,dma code of neighborhood
